,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
67,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,225328,66,0.598,0.0231,0.598,0.821,0.0,0.143,-4.433,0.0447,128.03,4
68,The Best Day (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,245290,60,0.642,0.488,0.642,0.576,0.0,0.159,-8.524,0.0282,125.0,4
69,Change (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,279359,59,0.499,0.000191,0.499,0.815,0.0,0.181,-4.063,0.0341,95.999,4
70,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,237580,61,0.572,0.0474,0.572,0.69,0.0,0.0897,-6.201,0.0358,160.111,4
71,Untouchable (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,312107,61,0.393,0.0181,0.393,0.531,0.0,0.169,-6.112,0.0329,200.391,4
72,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,267833,61,0.546,0.819,0.546,0.273,0.0,0.137,-9.208,0.0308,118.753,4
73,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,237338,58,0.476,0.0406,0.476,0.564,0.0,0.102,-5.677,0.0269,143.929,4
74,Superstar (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,263865,57,0.454,0.157,0.454,0.555,0.0,0.343,-6.69,0.0283,171.862,4
75,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,238443,64,0.432,0.0279,0.432,0.873,0.0,0.167,-4.367,0.0577,163.936,4
76,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,241822,61,0.482,0.0135,0.482,0.779,0.0,0.296,-5.025,0.0409,158.162,4
77,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,220839,60,0.599,0.816,0.599,0.494,0.0,0.101,-7.61,0.0372,142.893,4
78,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,277591,68,0.66,0.162,0.66,0.817,0.0,0.0667,-6.269,0.0521,135.942,4
79,We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,244236,62,0.609,0.849,0.609,0.373,0.0,0.0779,-8.819,0.0263,106.007,4
80,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,189495,64,0.588,0.225,0.588,0.608,0.0,0.092,-7.062,0.0365,90.201,4
81,Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,208608,64,0.563,0.514,0.563,0.473,1.2e-05,0.109,-11.548,0.0503,101.934,4
82,Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,242157,61,0.624,0.334,0.624,0.624,0.0,0.0995,-7.86,0.0539,80.132,4
83,willow,evermore,Taylor Swift,2020-12-10,214706,70,0.392,0.835,0.392,0.579,0.00179,0.145,-9.195,0.164,80.961,4
84,willow - moonlit witch version,willow (moonlit witch version),Taylor Swift,2020-12-16,208866,45,0.36,0.411,0.36,0.643,0.000241,0.136,-8.608,0.221,81.551,4
85,willow - lonely witch version,willow (lonely witch version),Taylor Swift,2020-12-15,214653,51,0.41,0.892,0.41,0.381,0.0,0.148,-9.083,0.0548,80.855,4
86,willow - dancing witch version (Elvira remix),willow [dancing witch version (Elvira remix)],Taylor Swift,2020-12-13,184819,58,0.429,0.449,0.429,0.567,1.5e-05,0.536,-10.157,0.272,83.922,4
87,champagne problems,evermore,Taylor Swift,2020-12-10,244000,53,0.463,0.92,0.463,0.248,0.0,0.113,-12.036,0.0374,171.346,4
88,gold rush,evermore,Taylor Swift,2020-12-10,185320,49,0.498,0.811,0.498,0.471,0.113,0.121,-10.406,0.0411,112.018,4
89,‘tis the damn season,evermore,Taylor Swift,2020-12-10,229840,52,0.575,0.737,0.575,0.435,5.38e-05,0.105,-8.193,0.0311,145.91,4
90,tolerate it,evermore,Taylor Swift,2020-12-10,245440,47,0.373,0.878,0.373,0.36,1.54e-05,0.079,-10.376,0.0387,147.442,5
91,"no body, no crime (feat. HAIM)",evermore,Taylor Swift,2020-12-10,215626,59,0.547,0.431,0.547,0.613,0.0,0.102,-7.577,0.0264,79.011,4
92,happiness,evermore,Taylor Swift,2020-12-10,315146,47,0.558,0.861,0.558,0.331,0.0,0.113,-10.649,0.0381,122.035,4
93,dorothea,evermore,Taylor Swift,2020-12-10,225880,52,0.607,0.694,0.607,0.488,0.0,0.129,-8.329,0.0264,119.953,4
94,coney island (feat. The National),evermore,Taylor Swift,2020-12-10,275320,54,0.529,0.826,0.529,0.536,0.00082,0.141,-11.269,0.0627,107.873,4
95,ivy,evermore,Taylor Swift,2020-12-10,260440,48,0.329,0.848,0.329,0.547,1.11e-05,0.088,-9.514,0.0397,86.629,4
96,cowboy like me,evermore,Taylor Swift,2020-12-10,275040,47,0.605,0.774,0.605,0.513,0.000177,0.123,-8.962,0.0337,127.986,4
97,long story short,evermore,Taylor Swift,2020-12-10,215920,57,0.546,0.674,0.546,0.732,0.184,0.0972,-7.715,0.0423,157.893,4
98,marjorie,evermore,Taylor Swift,2020-12-10,257773,54,0.535,0.878,0.535,0.562,0.000132,0.114,-11.615,0.0479,96.103,4
99,closure,evermore,Taylor Swift,2020-12-10,180653,49,0.686,0.832,0.686,0.705,4.55e-06,0.134,-10.823,0.249,151.868,5
